item_id,target_value,timestamp
Maddux Airlines,16.0,1930-01-19 18:23:00
Trans Continental and Western Air,8.0,1931-03-31 10:45:00
Rapid Air Transport,5.0,1934-08-31 23:42:00
Trans Continental and Western Air,5.0,1935-05-06 03:30:00
Delta Air Lines,4.0,1935-08-14 23:45:00
United Air Lines,12.0,1935-10-07 02:19:00
American Airlines,17.0,1936-01-14 19:32:00
Trans Continental and Western Air,13.0,1936-04-07 10:20:00
Western Air Express,7.0,1936-12-15 03:14:00
Eastern Air Lines,14.0,1936-12-19 20:47:00
United Air Lines,12.0,1936-12-27 19:38:00
Western Air Express,5.0,1937-01-12 11:07:00
United Air Lines,11.0,1937-02-09 20:50:00
Trans Continental and Western Air,13.0,1937-03-25 18:40:00
Deutsche Zeppelin Reederei,35.0,1937-05-06 19:25:00
Eastern Air Lines,4.0,1937-08-10 04:40:00
United Air Lines,19.0,1937-10-17 21:00:00
Northwest Orient Airlines,10.0,1938-01-10 15:07:00
Pan American World Airways,7.0,1938-01-11 19:40:00
Trans Continental and Western Air,9.0,1938-03-01 21:30:00
United Air Lines,10.0,1938-05-24 22:17:00
Pan American World Airways,15.0,1938-07-29 04:11:00
United Air Lines,7.0,1938-11-29 05:30:00
Northwest Orient Airlines,4.0,1939-01-13 21:15:00
Braniff Airlines,8.0,1939-03-26 14:48:00
Pennsylvania Central Airlines,25.0,1940-08-31 14:41:00
United Air Lines,10.0,1940-11-04 04:42:00
United Air Lines,10.0,1940-12-04 17:48:00
Trans Continental and Western Air,2.0,1941-01-23 04:13:00
Eastern Air Lines,9.0,1941-02-26 11:50:00
Pan American World Airways,2.0,1941-10-03 17:48:00
Northwest Orient Airlines,14.0,1941-10-30 02:04:00
American Airlines,20.0,1941-10-30 22:10:00
Trans Continental and Western Air,22.0,1942-01-16 19:23:00
United Air Lines,17.0,1942-05-01 23:00:00
Northwest Orient Airlines,3.0,1942-05-12 11:51:00
American Export Airlines,11.0,1942-10-03 19:05:00
American Airlines / Military - USAF,12.0,1942-10-23 17:15:00
Western Airlines,17.0,1942-12-15 01:22:00
Pan American World Airways,19.0,1943-01-21 07:30:00
Pan American Grace Airlines,14.0,1943-01-22 15:15:00
Pan American World Airways,25.0,1943-02-22 06:47:00
British Overseas Airways,17.0,1943-06-01 11:00:00
American Airlines,20.0,1943-07-28 22:43:00
American Airlines,15.0,1943-10-15 23:17:00
American Airlines,24.0,1944-02-10 23:36:00
Pan American World Airways,17.0,1944-08-08 13:20:00
Trans Continental and Western Air,24.0,1944-11-04 17:15:00
Trans Continental and Western Air,9.0,1944-12-01 00:54:00
Pan American World Airways,23.0,1945-01-08 21:16:00
American Airlines,24.0,1945-01-10 04:10:00
American Airlines,17.0,1945-02-23 02:25:00
Pennsylvania Central Airlines,20.0,1945-04-14 16:58:00
Eastern Air Lines / Military - U.S. Army Air Corps,3.0,1945-07-12 14:36:00
Pan American World Airways,4.0,1945-08-03 10:11:00
Eastern Air Lines,22.0,1945-09-07 02:13:00
National Airlines,2.0,1945-10-05 01:05:00
Eastern Air Lines,1.0,1945-12-30 21:13:00
Pennsylvania Central Airlines,3.0,1946-01-06 03:59:00
Eastern Air Lines,17.0,1946-01-18 11:03:00
United Air Lines,21.0,1946-01-31 02:47:00
American Airlines,27.0,1946-03-03 08:12:00
Trans Luxury Airlines,2.0,1946-08-21 04:19:00
Trans-Luxury Airlines,21.0,1946-09-05 02:00:00
United Air Lines,2.0,1946-10-08 04:33:00
National Air Transport Services,13.0,1946-10-17 00:57:00
United Air Lines,2.0,1946-11-11 03:30:00
Western Airlines,11.0,1946-11-13 03:41:00
Western Airlines,12.0,1946-12-24 19:19:00
American Airlines,2.0,1946-12-28 09:19:00
Trans Continental and Western Air,13.0,1946-12-28 02:09:00
Eastern Air Lines,18.0,1947-01-12 01:38:00
Trans Canada Air Lines,15.0,1947-04-28 23:13:00
United Air Lines,43.0,1947-05-29 19:05:00
Eastern Air Lines,53.0,1947-05-30 17:41:00
Pennsylvania Central Airlines,50.0,1947-06-13 18:16:00
Pan American World Airways,14.0,1947-06-19 23:40:00
American Airlines,0.0,1947-10-08 07:55:00
United Air Lines,53.0,1947-10-24 12:29:00
Pan American World Airways,18.0,1947-10-26 13:45:00
AB Aerotransport,44.0,1947-10-26 17:20:00
Alaska Airlines,8.0,1947-11-30 14:25:00
Eastern Air Lines,5.0,1948-01-13 04:36:00
Delta Air Lines,12.0,1948-03-10 22:58:00
Northwest Orient Airlines,30.0,1948-03-12 21:14:00
Pan American World Airways,30.0,1948-04-15 02:35:00
United Air Lines,43.0,1948-06-17 12:41:00
Northwest Orient Airlines,37.0,1948-08-29 17:05:00
Northwest Orient Airlines,2.0,1948-10-27 16:50:00
Alaska Airlines,5.0,1949-01-20 20:05:00
Standard Airlines,35.0,1949-07-12 07:43:00
Eastern Air Lines / Military - USN,16.0,1949-07-30 10:45:00
Eastern Air Lines / Military - Bolivian Air Force,55.0,1949-11-01 11:45:00
American Airlines,28.0,1949-11-29 05:49:00
Capital Airlines,6.0,1949-12-12 20:45:00
Northwest Orient Airlines,13.0,1950-03-07 20:59:00
Northwest Orient Airlines,58.0,1950-06-23 23:25:00
Trans World Airlines,55.0,1950-08-31 00:03:00
Robinson Airlines,16.0,1950-09-04 14:10:00
Air India,48.0,1950-11-03 09:43:00
Northwest Orient Airlines,21.0,1950-11-06 08:15:00
Canadian PacifiAir Lines,2.0,1950-12-22 13:53:00
National Airlines,7.0,1951-01-14 14:13:00
Northwest Orient Airlines,10.0,1951-01-16 12:14:00
Mid Continent Airlines,16.0,1951-03-02 09:12:00
Southwest Airways,22.0,1951-04-06 20:30:00
Cubana de Aviacion / Military -  US Navy,43.0,1951-04-25 11:49:00
United Air Lines,11.0,1951-04-28 19:32:00
Pan American World Airways,40.0,1951-06-22 03:25:00
United Air Lines,50.0,1951-06-30 02:00:00
United Air Lines,50.0,1951-08-24 04:28:00
Transocean Air Lines,1.0,1951-11-05 09:29:00
Continental Charters,26.0,1951-12-29 22:25:00
Transocean Air Lines,4.0,1951-12-30 22:07:00
Northwest Orient Airlines,36.0,1952-01-19 01:38:00
American Airlines,23.0,1952-01-22 15:43:00
Flying Tiger Line,7.0,1953-01-07 20:55:00
Pan American World Airways,52.0,1952-04-11 12:20:00
North Continental Airlines (Robin Airlines),29.0,1952-04-18 03:34:00
Pan American World Airways,50.0,1952-04-29 04:40:00
British Overseas Airways,1.0,1952-05-26 08:45:00
Pan American World Airways,1.0,1952-07-27 11:46:00
Associated Air Transport,40.0,1953-01-07 04:12:00
National Airlines,46.0,1953-02-14 17:10:00
Transocean Air Lines,35.0,1953-03-20 18:38:00
Western Airlines,8.0,1953-04-20 23:08:00
British Overseas Airways,43.0,1953-05-02 16:35:00
Delta Air Lines,19.0,1953-05-17 14:15:00
Transocean Air Lines,58.0,1953-07-12 08:41:00
American Airlines,28.0,1953-09-16 08:34:00
Eastern Air Lines,2.0,1953-10-19 00:56:00
British Commonwealth PacifiAirlines,19.0,1953-10-29 08:44:00
British Overseas Airways,35.0,1954-01-10 09:50:00
Western Airlines,9.0,1954-02-26 10:32:00
British Overseas Airways,21.0,1954-04-08 19:10:00
Braniff Airlines,12.0,1954-08-22 17:03:00
KLM Royal Dutch Airlines,28.0,1954-09-05 02:30:00
Northeast Airlines,2.0,1954-11-30 11:15:00
Linee Aeree Italiane,26.0,1954-12-18 14:00:00
Johnson Flying Service,10.0,1954-12-22 23:00:00
United Air Lines,0.0,1955-01-19 16:25:00
Trans World Airlines,16.0,1955-02-19 07:31:00
Central African Airways,1.0,1955-02-23 09:20:00
American Airlines,13.0,1955-03-20 22:36:00
Pan American World Airways,4.0,1955-03-26 11:12:00
Braniff Airlines,22.0,1955-07-17 06:24:00
El Al,58.0,1955-07-27 07:40:00
United Air Lines,66.0,1955-10-06 07:26:00
United Air Lines,44.0,1955-11-01 19:03:00
Peninsular,28.0,1955-11-17 23:59:00
Eastern Air Lines,17.0,1955-12-21 03:43:00
Trans World Airlines,22.0,1956-04-01 19:20:00
Northwest Orient Airlines,5.0,1956-04-02 08:10:00
Cordova Airlines,6.0,1956-04-09 09:51:00
United Air Lines / Trans World Airlines,128.0,1956-06-30 10:32:00
Trans Canada Air Lines,1.0,1956-07-09 13:53:00
Canadian PacifiAir Lines,15.0,1956-08-29 20:45:00
Alaska Airlines,5.0,1956-10-02 18:25:00
Pan American World Airways,0.0,1956-10-16 06:15:00
Linea Aeropostal Venezolana,25.0,1956-11-27 07:50:00
Trans Canada Air Lines,62.0,1956-12-09 19:15:00
American Airlines,1.0,1957-01-06 00:01:00
Northeast Airlines,21.0,1957-02-01 18:02:00
Alaska Airlines,5.0,1957-03-02 17:19:00
REAL,26.0,1957-04-10 15:20:00
Aviaco,37.0,1957-05-09 19:04:00
LOT Polish Airlines,9.0,1957-06-14 23:10:00
KLM Royal Dutch Airlines,58.0,1957-07-16 03:36:00
Western Airlines,1.0,1957-07-25 03:37:00
Northeast Airlines,12.0,1957-09-15 20:46:00
Pan American World Airways,44.0,1957-11-09 16:27:00
British European Airways,23.0,1958-02-06 14:17:00
Capital Airlines,47.0,1958-04-06 23:19:00
AREA,32.0,1958-04-07 09:00:00
United Air Lines / Military - U.S. Air Force,49.0,1958-04-21 08:30:00
Capital Airlines / Military - Air National Guard,11.0,1958-05-20 11:29:00
KLM Royal Dutch Airlines,99.0,1958-08-14 03:45:00
British European Airways,31.0,1958-10-22 11:50:00
Cubana de Aviacion,17.0,1958-11-01 02:01:00
Union Aeromaritime de Transport,3.0,1958-12-26 12:52:00
Southeast Airlines,10.0,1959-01-08 20:32:00
Air Jordan,10.0,1959-01-22 15:00:00
Dwyer Flying Service - Private Charter,4.0,1959-02-03 01:00:00
American Airlines,65.0,1959-02-03 23:56:00
Capital Airlines,2.0,1959-05-12 15:29:00
Capital Airlines,31.0,1959-05-12 16:13:00
Trans World Airlines,68.0,1959-06-26 17:35:00
American Airlines,5.0,1959-08-15 16:42:00
Reeve Aleutian Airlines,16.0,1959-09-24 17:20:00
Braniff Airlines,34.0,1959-09-29 23:09:00
PacifiAir Lines,1.0,1959-10-26 20:18:00
OlympiAirways,18.0,1959-10-29 15:25:00
Piedmont Airlines,26.0,1959-10-30 20:40:00
Wheeler Airlines,5.0,1959-11-04 23:07:00
National Airlines,42.0,1959-11-16 00:55:00
Trans World Airlines,3.0,1959-11-24 05:35:00
Allegheny Airlines,25.0,1959-12-01 09:47:00
National Airlines,34.0,1960-01-06 02:38:00
Capital Airlines,50.0,1960-01-18 22:19:00
Scandinavian Airlines (SAS),42.0,1960-01-19 18:47:00
Northwest Orient Airlines,63.0,1960-03-17 15:25:00
SAMSA,25.0,1960-03-19 11:10:00
Lloyd Aereo Colombiano,37.0,1960-04-19 20:48:00
PacifiNorthern Airlines,14.0,1960-06-14 04:47:00
Northwest Orient Airlines,1.0,1960-07-14 04:30:00
Ethiopian Airlines,1.0,1960-07-15 09:40:00
Air France,63.0,1960-08-29 06:50:00
World Airways,80.0,1960-09-19 06:02:00
Austrian Airlines,31.0,1960-09-26 23:40:00
United Arab Airlines,21.0,1960-09-29 12:15:00
Eastern Air Lines,62.0,1960-10-04 17:40:00
Northwest Orient Airlines,12.0,1960-10-28 11:39:00
LAN,24.0,1961-04-03 23:57:00
Air France,78.0,1961-05-10 02:30:00
United Air Lines / Trans World Airlines,128.0,1960-12-16 10:33:00
Philippine Air Lines,28.0,1960-12-22 12:31:00
Finnair,25.0,1961-01-03 07:40:00
Aeronaves de Mexico,4.0,1961-01-19 20:25:00
Garuda Indonesia Airlines,21.0,1961-01-24 02:48:00
Garuda Indonesia Airlines,26.0,1961-02-03 23:55:00
Sabena,72.0,1961-02-15 10:05:00
KLM Royal Dutch Airlines,61.0,1961-05-30 01:20:00
KLM Royal Dutch Airlines,20.0,1961-06-12 04:11:00
United Air Lines,17.0,1961-07-11 11:36:00
Trans World Airlines,78.0,1961-09-01 02:05:00
Air France,77.0,1961-09-12 22:09:00
Northwest Orient Airlines,37.0,1961-09-17 08:57:00
Imperial Airways,77.0,1961-11-08 21:24:00
American Airlines,95.0,1962-03-01 10:09:00
Caledonian Airways,111.0,1962-03-04 18:20:00
Flying Tiger Line,1.0,1962-03-15 01:14:00
Flying Tiger Line,107.0,1962-03-15 00:30:00
Continental Airlines,45.0,1962-05-22 21:21:00
Air France,112.0,1962-06-22 04:01:00
Alitalia,94.0,1962-07-07 23:59:00
United Arab Airlines,26.0,1962-07-19 15:45:00
Canadian PacifiAir Lines,27.0,1962-07-22 23:19:00
Flying Tiger Line,28.0,1962-09-23 21:00:00
Allegheny Airlines,1.0,1962-10-19 20:52:00
United Air Lines,18.0,1962-11-23 12:24:00
Malev Hungarian Airlines,21.0,1962-11-23 14:10:00
Varig,97.0,1962-11-27 03:40:00
Eastern Air Lines,25.0,1962-11-30 21:45:00
Taxader Airlines,24.0,1962-12-06 17:00:00
Flying Tiger Line,5.0,1962-12-14 22:12:00
West Coast Airlines,3.0,1963-01-17 15:53:00
Continental Airlines,8.0,1963-01-29 22:44:00
Middle East Airlines / Military - Turkish Air ForceC-47,17.0,1963-02-01 17:15:00
Northwest Orient Airlines,43.0,1963-02-12 13:48:00
Philippine Air Lines,27.0,1963-03-02 10:02:00
Private,4.0,1963-03-05 18:20:00
Lloyd Aereo Boliviano,41.0,1963-03-15 13:55:00
Northwest Orient Airlines,101.0,1963-06-03 10:16:00
Mohawk Airlines,7.0,1963-07-02 15:49:00
New Zealand National Airways,23.0,1963-07-03 09:09:00
United Arab Airlines,63.0,1963-07-27 01:50:00
Air Inter,20.0,1963-08-12 13:19:00
Swissair,80.0,1963-09-04 06:22:00
New York Airways,6.0,1963-10-14 11:33:00
Finnair,22.0,1963-11-08 17:59:00
Trans Canada Air Lines,118.0,1963-11-29 18:33:00
Pan American World Airways,81.0,1963-12-08 20:59:00
South Central Airlines,10.0,1964-02-03 08:00:00
Philippine Air Lines,31.0,1964-02-21 16:00:00
Eastern Air Lines,58.0,1964-02-25 02:06:00
Fuji Airlines,20.0,1964-02-27 06:15:00
British Eagle International Airlines,83.0,1964-02-29 14:14:00
Paradise Airlines,85.0,1964-03-01 11:29:00
Slick Airways - Cargo,3.0,1964-03-10 08:22:00
Frontier Airlines,5.0,1964-03-12 20:50:00
Alitalia,45.0,1964-03-28 22:39:00
Private - Facilities Management Co.,9.0,1964-03-28 06:00:00
PacifiAir Lines,44.0,1964-05-07 06:49:00
Trans World Airlines,50.0,1964-11-23 13:09:00
United Air Lines,39.0,1964-07-09 18:15:00
